model,feature,p_value,actual_mean_importance,null_mean_importance,r2_mean,r2_variance,mae_mean,mae_variance
RandomForest_RFE,original_shape2D_Elongation,4.4146893463719633e-17,0.03131119046279304,0.061562470586783574,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_MajorAxisLength,1.330274998711606e-11,0.009541904514576247,0.030967478806070575,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_MeshSurface,4.5628399897284026e-14,0.005386236750005653,0.027181553059130274,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_MinorAxisLength,6.70243743287757e-17,0.024481675154667818,0.052415243599980864,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_Perimeter,0.16497238412043233,0.024295735792137712,0.02189417304806679,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_PerimeterSurfaceRatio,2.6429844354267208e-23,0.14626144759980325,0.03938990096228193,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_Sphericity,9.091610900055431e-10,0.07870440130096357,0.05439605812650427,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_10Percentile,0.0005251307983490976,0.04147104078381082,0.029433329409275687,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_90Percentile,9.393573118110792e-05,0.030130895297762497,0.037837298741988754,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Energy,1.747244202704262e-18,0.0321768993135355,0.06690679124790584,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_InterquartileRange,2.7527862451901494e-11,0.0296988173730188,0.04777355786453285,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Kurtosis,4.221645642749422e-12,0.07775648055398725,0.0478020474774072,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Maximum,2.973308265494917e-11,0.037906962708897936,0.05809506551443631,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_MeanAbsoluteDeviation,0.008188172318700188,0.012150766862517702,0.018483080227167215,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Minimum,4.0317470703429334e-18,0.027241031400129154,0.055057750860092805,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_RootMeanSquared,0.13176215990349666,0.05190256284027845,0.047012218795457375,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Skewness,2.5938768182982518e-12,0.02543463379478113,0.04509719676973653,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_glrlm_LongRunEmphasis,0.05748529381513852,0.04722572740246387,0.05167970604016441,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_glrlm_RunEntropy,1.992971760196953e-09,0.02550066009846155,0.03782240434199315,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_glrlm_RunLengthNonUniformityNormalized,5.762939184915345e-16,0.02258097516296608,0.04574921955038972,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_DependenceNonUniformityNormalized,4.1593637924486e-23,0.09382516268388277,0.004683111128321193,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_DependenceVariance,0.00014055216243402286,0.010440535652593634,0.02015528533169844,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_SmallDependenceHighGrayLevelEmphasis,7.81042256264432e-15,0.020012816455440844,0.04650684504564401,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_gldm_SmallDependenceLowGrayLevelEmphasis,6.271882334183771e-13,0.05553887655195798,0.022344342454242983,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_ngtdm_Contrast,4.846195209804461e-05,0.039022563488566794,0.029753871010727236,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
DecisionTree_RFE,original_shape2D_Elongation,3.0611730154979987e-12,0.03086523871012133,0.06897113073781595,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_shape2D_MajorAxisLength,0.0001337676569293767,0.01427196618706168,0.0329705162416053,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_shape2D_MeshSurface,6.502696243291802e-15,0.0033165618509115274,0.02029064638469898,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_shape2D_MinorAxisLength,4.444177169951945e-15,0.014540015791492476,0.05257528618951552,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_shape2D_Perimeter,0.012640410011016784,0.012399818114465734,0.020341239383651226,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_shape2D_PerimeterSurfaceRatio,2.891924462016491e-17,0.15155631188235238,0.042476113431140466,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_shape2D_Sphericity,2.200415129584091e-13,0.09590738048160267,0.04698000158639343,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_10Percentile,0.06620235313465683,0.03794063722438317,0.02890560793331611,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_90Percentile,0.5615262258440326,0.03508028700744969,0.03204912143158761,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_Energy,4.687367514991607e-16,0.02428773243070281,0.0708217195556425,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_InterquartileRange,5.0798548491765575e-20,0.008874217858615809,0.04608537327270277,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_Kurtosis,2.93473134374906e-08,0.087702757891166,0.04610678316364046,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_Maximum,2.0887021798067818e-05,0.04174617610541008,0.06255828176395292,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_MeanAbsoluteDeviation,7.041762943972505e-09,0.008089891747925777,0.02637239426681677,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_Minimum,3.675596846673378e-08,0.02569482005860522,0.05686594388439674,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_RootMeanSquared,1.9887012094041772e-11,0.0759610006131923,0.04058220160900569,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_firstorder_Skewness,0.0003490875828635708,0.029420906874986275,0.04663330942178577,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_glrlm_LongRunEmphasis,2.3039719888659217e-05,0.019242667885431098,0.03993994905373071,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_glrlm_RunEntropy,0.011596741927729175,0.0242894731878793,0.039054589208349026,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_glrlm_RunLengthNonUniformityNormalized,1.015087793606726e-05,0.018706336806688966,0.0386435722128758,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_gldm_DependenceNonUniformityNormalized,2.999339526417681e-13,0.11631725457904595,0.014789405237919584,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_gldm_DependenceVariance,0.0014468556799381363,0.015689350693902922,0.02704965256846012,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_gldm_SmallDependenceHighGrayLevelEmphasis,1.307077957661969e-10,0.013145692276191593,0.0413479111623815,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0021576106065605907,0.05036904967008073,0.026893903666660147,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
DecisionTree_RFE,original_ngtdm_Contrast,0.010676003619292223,0.044584454070334505,0.03069534663195493,-0.5103265120960822,0.3012337970813384,0.16143534659178901,0.0008074072311324911
